,last_scraped,id,host_id,host_is_superhost,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,occ_rate,monthly_income,multi_listing_host,neighborhood
98428,2021-02-20,44246193,115505661,1,37207.0,36.19472,-86.77786,House,Entire home/apt,10,3.0,9.0,158.0,2.0,1125.0,29,59,89,15,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,54.0,0.26301369863013696,1263.9999999999998,1,North_Nashville
98429,2021-02-20,44249314,354381278,0,37203.0,36.14279000000001,-86.76288000000002,Guest suite,Private room,2,1.0,1.0,130.0,1.0,1125.0,30,60,90,33,93.0,9.0,10.0,9.0,10.0,9.0,9.0,1,6.0,0.7,2767.916666666667,1,South_Nashville
98430,2021-02-20,44253967,106505883,0,37203.0,36.14642,-86.78135,Condominium,Entire home/apt,4,1.0,2.0,153.0,2.0,1125.0,23,50,79,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,121.0,0.061808219178082185,287.64,1,South_Nashville
98431,2021-02-20,44265921,356788126,1,37209.0,36.13992,-86.83179,House,Entire home/apt,6,1.5,4.0,128.0,1.0,1125.0,16,35,48,51,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.5260273972602739,2047.9999999999998,0,West_Nashville
98432,2021-02-20,44266731,335977682,0,37203.0,36.15542,-86.77603,Apartment,Entire home/apt,4,1.0,2.0,83.0,1.0,1125.0,4,4,4,18,92.0,9.0,8.0,10.0,10.0,10.0,9.0,1,1.0,0.3563835616438356,899.72,0,Downtown
98433,2021-02-20,44277059,78193468,0,37214.0,36.21941,-86.70453,Other,Private room,6,2.0,3.0,494.0,1.0,1125.0,30,60,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,Donelson
98434,2021-02-21,44280474,354381278,0,37203.0,36.1416,-86.76325,Apartment,Entire home/apt,2,1.0,1.0,149.0,1.0,1125.0,0,0,0,5,76.0,8.0,8.0,8.0,7.0,10.0,8.0,1,6.0,0.13150684931506848,596.0,1,South_Nashville
98435,2021-02-20,44280778,356744473,1,37203.0,36.13775,-86.78634,Townhouse,Entire home/apt,10,2.5,6.0,356.0,2.0,25.0,0,12,33,8,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,7.0,0.18936986301369862,2050.56,1,South_Nashville
98436,2021-02-20,44289050,52522718,1,37206.0,36.18158,-86.74746999999998,House,Entire home/apt,5,1.0,3.0,83.0,28.0,90.0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3.0,0.40504109589041093,1022.56,1,East_Nashville
98437,2021-02-20,44290489,246225955,1,37214.0,36.22002,-86.7047,Condominium,Entire home/apt,6,2.0,4.0,123.0,2.0,1125.0,21,40,42,2,90.0,9.0,10.0,9.0,8.0,10.0,9.0,0,4.0,0.03813698630136986,142.67999999999998,1,Donelson
98438,2021-02-19,44290786,255636174,1,37211.0,36.09876,-86.74677,Condominium,Entire home/apt,8,2.5,4.0,385.0,1.0,1125.0,0,0,0,4,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0,10.0,0.13150684931506848,1540.0,1,South_Nashville
98439,2021-02-20,44316702,356926880,0,37203.0,36.16322,-86.77646999999997,Condominium,Entire home/apt,16,4.5,6.0,1097.0,1.0,1125.0,19,41,63,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.0,0.08021917808219177,2676.6799999999994,1,Downtown
98440,2021-02-20,44319153,345896456,0,37211.0,36.07769,-86.73793,Apartment,Entire home/apt,5,1.0,2.0,95.0,1.0,1125.0,28,58,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,Southeast_Nashville
98441,2021-02-20,44320278,31737573,1,37207.0,36.19567,-86.76373000000002,Guest suite,Private room,2,1.0,1.0,59.0,2.0,90.0,17,35,65,28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.0,0.39452054794520547,708.0,1,East_Nashville
98442,2021-02-20,44324748,101426897,1,37203.0,36.13394,-86.77967,House,Entire home/apt,12,3.0,8.0,165.0,2.0,1125.0,18,38,65,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,150.0,0.23671232876712328,1188.0,1,South_Nashville
98443,2021-02-20,44336389,6675690,1,37207.0,36.18599,-86.75464000000002,Townhouse,Entire home/apt,6,1.0,4.0,216.0,2.0,365.0,0,0,11,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,85.0,0.13150684931506848,863.9999999999999,1,East_Nashville
98444,2021-02-20,44340566,56283904,1,37216.0,36.22555,-86.75786,Guest suite,Private room,2,1.5,1.0,35.0,10.0,1125.0,0,0,0,5,92.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.0,0.5917808219178082,630.0000000000001,1,East_Nashville
98445,2021-02-20,44356178,56283904,1,37216.0,36.22419,-86.75675,Guest suite,Private room,4,1.5,2.0,78.0,10.0,1125.0,17,40,70,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3.0,0.33534246575342463,795.5999999999999,1,East_Nashville
98446,2021-02-20,44356846,56283904,1,37216.0,36.22536,-86.75712,Guest suite,Private room,2,1.5,1.0,35.0,10.0,1125.0,0,0,0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3.0,0.2104109589041096,224.00000000000003,1,East_Nashville
98447,2021-02-20,44358317,106505883,0,37203.0,36.15901,-86.80564,Condominium,Entire home/apt,8,1.0,4.0,95.0,2.0,1125.0,16,33,47,14,76.0,8.0,8.0,9.0,9.0,8.0,8.0,1,121.0,0.13150684931506848,379.99999999999994,1,North_Nashville
